paper_id,in silico,in vitro,in vivo,Systematic review or meta-analysis of RCTs,RCT,Non-randomized controlled trial,Comparative study,Descriptive study,Systematic review or meta-analysis of studies other than RCTs,Other
001d8d54a7e73e761f779c81661595cc5ae2ca08,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0
0043d044273b8eb1585d3a66061e9b4e03edc062,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0
00911cf4f99a3d5ae5e5b787675646a743574496,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
00951716e01c8e0cc341770389fc38d1b5455210,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0
012debf5a240a496518af146ddfc16c958339c2b,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0
018269476cd191365d6b8bed046078aea07c8c01,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
01c6ed4b3dee404e4d908af40ab93183b573e9ec,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0
03cda737465b68fbf1a76dafe2e3788961f986be,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1
0408f5667ea02310649aa4396f3d444bd5d56c23,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1
0445b9a376505cd349052e964439fef6ad61e105,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1
0469d052ac583aa5b739be7fedecec5307548d49,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0
0479ecb40588afdf6c11134fab505a7278029a7d,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1
04bdb14ee4fde3edae739ffd6b0fc196aee7333e,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0
04be45dba1c24d640d5da8298c5f01e3165d84c4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0
04d9df812fd77e1231263d42ab45e570cd94d956,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0
04db1189b14b7452476b6d0ac11fc88a59002503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1
0511ed1c3e91902ab662c81f8fc20c83a840e8d0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0
0597b458ac250cffe02827f4448a2bfd4e5e05f3,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0
059d5acb8af8bd2bedab06b5dcc0510691fe0f1e,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1
05af85c50dd5c80a25fc3dd985d31f0d563d0019,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0
