Assignee,cord_uid,sha,title,url,Computational,Experimental - in vitro,Experimental - in vivo,Systematic review and/or meta-analysis,Clinical-interventional,Clinical-interventional,Clinical-observational,Clinical-observational,Systematic review and/or meta-analysis,Review,Other,,
Zayd,mmykzj9w,f0dd0852e4b1b5ccb3add01fc3aa561478b8be89,Biological effects of HBV X protein on hepatocellular carcinogenesis in association with cellular factors,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7090866/,,,,,,,,,,1,,Non-systematic review of previous studies including in-vivo studies with mice models and in-vitro studies. ,1
Zayd,480bzpi1,a484db449f6d41927b645a3d5bcdd1ada691e694,Do we have enough evidence how seasonal influenza is transmitted and can be prevented in hospitals to implement a comprehensive policy?,https://doi.org/10.1016/j.vaccine.2016.04.096,,,,,,,,,1,,,,1
Zayd,n5o7u56f,862dbb7e5c850f946575d3c882f46be61d139a22,Bioactive principles from Cordyceps sinensis: A potent food supplement – A review,https://doi.org/10.1016/j.jff.2013.04.018,,,,,,,,,,1,,Non-systematic review of literature surrounding C. Sinensis,1
Zayd,8rl4kswe,8acb82e7915763480c44bce48a261d1a3199cda0,Virus Entry: Open Sesame,https://doi.org/10.1016/j.cell.2006.02.007,,,,,,,,,,1,,Non-systematic review of literature surrounding recent studies on viral entry mechanisms,1
Zayd,whfyczcj,f6fdeab5faa3141b4d0ba262210e6662a7aa261a,Hijacking of the Ubiquitin/Proteasome Pathway by the HIV Auxiliary Proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5707529/,,,,,,,,,,1,,Non-systematic review of particular proteosome pathway,1
Zayd,y8z0pwgn,8c71f856263c447ba7983e1f7087259008ca8505,A permanent host shift of rabies virus from Chiroptera to Carnivora associated with recombination,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5428239/,1,,,,,,,,,,,,1
Zayd,vkplbzap,f53d10b5f8b57b179da04fb8900aec3c32783409,Molecular anatomy of viral RNA-directed RNA polymerases,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7086849/,,,,,,,,,,1,,Non-systematic review of RNA polymerase literature,1
Zayd,mkwdpy9g,c61479064273b0fa74a8511f91bf18bbd8147b89; 1ce61f0e462ac4bde7fee6429e3a872256a0ca6d,Pathogenesis of neurotropic murine coronavirus is multifactorial,https://doi.org/10.1016/j.tips.2010.11.001,,,,,,,,,,1,,Non-systematic review,1
,cxwucrgo,abc25b132b99ecba2d9f81806d2c211037ba1bba,Structural maturation of rubella virus in the Golgi complex,https://doi.org/10.1016/s0042-6822(03)00384-2,,1,,,,,,,,,,,1
,pb1p6vrd,71428834e68beb317efb6fb19b4d29adb5a54c3e,Major Infectious Diseases,https://doi.org/10.1016/b978-0-08-092532-5.50015-5,,,,,,,,,,,1,Book chapter,1
Lolita,u4mvk89w,7d5cd4faf19ae8838653aa65ea172c97f8bfe9f4,X-Ray Structure and Inhibition of 3C-like Protease from Porcine Epidemic Diarrhea Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4865815/,,1,,,,,,,,,,,1
Lolita,n38r8n70,10311f1cc4dcc7f690cb3b22560aae659ce1d436,Chapter 9 Nutritional Care of the Child with Human Immunodeficiency Virus Infection in the United States A Historical and Contemporary Perspective,https://doi.org/10.1016/b978-0-12-800769-3.00009-3,,,,,,,,,,,1,Book chapter (unable to access the whole thing),1
Lolita,v5pt752o,fc936be290457f971e5f88449e10bdfbe00c0bf4,Mathematical prediction in infection,https://doi.org/10.1016/j.mpmed.2009.07.004,,,,,,,,,,1,1,,
Lolita,ff9vfrvc,9b07951ffeb24912f35e85556e35108481b02755,Impact of SARS on healthcare utilization by disease categories: Implications for delivery of healthcare services,https://doi.org/10.1016/j.healthpol.2007.03.001,,,,,,,,1,,,,,1
Lolita,r41ilao6,6bde3798df501fc40dd89e2cff0a1a8fd2b9dd47,Molecular analyses of disease pathogenesis: Application of bovine microarrays,https://doi.org/10.1016/j.vetimm.2005.02.015,,1,1,,,,,,,1,,,
Lolita,all5j2od,822d312b31913762b90bdd395449770c01c84412,Bovine coronavirus,https://doi.org/10.1016/s0007-1935(05)80210-6,,1,1,,,,,,,1,,,
Lolita,ago3406f,8e08171efdeefb1359c606284d75271667ef8252,CRISPR-mediated activation of endogenous BST-2/tetherin expression inhibits wild-type HIV-1 production,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6395588/,,1,,,,,,,,,,,1
GD/ lolita,apxv9fd8,d205480b1b5704003ff43d9dbb8b531827fcfb7b,Case control study to investigate risk factors for bovine neonatal pancytopenia (BNP) in young calves in southern Germany,https://doi.org/10.1016/j.prevetmed.2012.02.008,,,1,,,,,,,,,Case control study,1
GD,ag5y781z,aa0734b03303376ba9fbd690867137c23fe442cc,Chapter 32 Nidoviruses of Fish and Crustaceans,https://doi.org/10.1016/b978-0-12-801573-5.00032-2,,,,,,,,,,,1,book chapter (not scientific study),1
