paper_id,sha,Study Type,Computational,Experimental - in vitro,Experimental - in vivo,Clinical-interventional,Clinical-observational,Systematic review and/or meta-analysis,Review
47ema2dq,6a3fa8ed278df0d05c5e009521de11c72308f60b,['review'],0.0,0.0,0.0,0.0,0.0,1.0,0.0
9trzqzep,eb4b8f43f68db5e493984b7e4e56d9f804d7e885,"['questionnaire', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
hnu8gw6w,2afcf2ab2330cb56ec493f82d87fa0c5b5f076e9,"['time series', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
5ulk3euw,9f7ed2037968c63fa97eb6fc7c35e9738a654541,['cross-sectional'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
loowpch7,de707f97b534ca340482600ed1f008b20d7b1b8e,"['prospective cohort', 'prospective cohort']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
5hwqdnx1,2735c2e5b493fd4e7b7c4ec3d44a775f9399aa0d,['time-series'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
si9jhugj,c9fd14bb30e75a26b15c72e67ec881d2200a95e5,"['survey', 'cross section', 'cross sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
kcco7dbd,fe83b78b82d15a20c4c1b07f472785d851b5f982,"['prospective cohort', 'prospective cohort']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
ejha0oh6,4c64fdedbafa647d17c84faa5a8853c5d824a6f0,"['survey', 'cross section', 'cross sectional', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
2egeyh0j,87a937ec2cd698b7d24ade1803a22852747ec8c7,['clinical'],0.0,0.0,0.0,1.0,0.0,0.0,0.0
lluqlzlg,0469d052ac583aa5b739be7fedecec5307548d49,"['survey', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
sy3ncwgw,743c5db7611d4af74204901e0ed3b6317a0bb3c4,"['survey', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
49xvz389,545def8771357b4cb2875f5795a0760e97534cc9,"['questionnaire', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
xwfptmmv,b35c5f90e09d90f6fd6cff9dab355755e4c33fe4,['cross-sectional'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
q0ln8a1l,2cb75a42281bf540c142bec979a4bc66da597a3a,['review'],0.0,0.0,0.0,0.0,0.0,1.0,0.0
